2020-11-20 21:04:10.250 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2020-11-20 21:04:10.713 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2020-11-20 21:04:12.236 [main] INFO  com.soft1851.files.Application - The following profiles are active: dev
2020-11-20 21:04:13.296 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-20 21:04:13.299 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-20 21:04:13.330 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2020-11-20 21:04:13.556 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=0bfaecec-ef64-3cf2-8706-6f87047b9118
2020-11-20 21:04:14.052 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8004 (http)
2020-11-20 21:04:14.063 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2020-11-20 21:04:14.064 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2020-11-20 21:04:14.064 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-11-20 21:04:14.258 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-20 21:04:14.258 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2005 ms
2020-11-20 21:04:15.388 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 21:04:15.389 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 21:04:15.397 [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2020-11-20 21:04:15.397 [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-11-20 21:04:15.679 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-20 21:04:17.331 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 21:04:17.557 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2020-11-20 21:04:17.582 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8004 (http) with context path ''
2020-11-20 21:04:18.892 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2020-11-20 21:04:18.922 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
2020-11-20 21:04:18.946 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2020-11-20 21:04:18.956 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
2020-11-20 21:04:19.099 [main] INFO  com.soft1851.files.Application - Started Application in 10.92 seconds (JVM running for 11.965)
2020-11-20 21:04:26.232 [http-nio-8004-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-20 21:04:26.233 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-20 21:04:26.243 [http-nio-8004-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2020-11-20 21:04:26.308 [http-nio-8004-exec-1] INFO  c.s.api.aspect.ServiceLogAspect - ==== 开始执行 class com.soft1851.files.service.impl.UploadServiceImpl.uploadFds====
2020-11-20 21:04:26.612 [http-nio-8004-exec-1] INFO  c.s.api.aspect.ServiceLogAspect - 当前执行耗时:304
2020-11-20 21:04:26.612 [http-nio-8004-exec-1] INFO  c.s.f.c.FileUploadController - path=group1/M00/00/00/J2H8PF-3vsCADPl0AAAtkfI_zVo321.jpg
2020-11-20 21:04:26.612 [http-nio-8004-exec-1] INFO  c.s.f.c.FileUploadController - http://39.97.252.60:8888/group1/M00/00/00/J2H8PF-3vsCADPl0AAAtkfI_zVo321.jpg
